Experiment,Method,Column,Measure,Value
7,Bayesian,R free [%],MAD,0.9859188589304004
8,Mean,Clashscore,MSE,105.78597430468878
8,Mean,Clashscore,MAE,5.877252236874639
8,Mean,Clashscore,MAD,4.360337279409965
8,Mean,Ramachandran outliers [%],MSE,1.7637932096321902
8,Mean,Ramachandran outliers [%],MAE,0.6049245407152672
8,Mean,Ramachandran outliers [%],MAD,0.4947538156705714
8,Mean,Rotamer outliers [%],MSE,12.77334344143693
8,Mean,Rotamer outliers [%],MAE,2.534690819976386
8,Mean,Rotamer outliers [%],MAD,2.101693921552368
8,Mean,RSRZ outliers [%],MSE,15.489804504500908
8,Mean,RSRZ outliers [%],MAE,2.6942211172400814
8,Mean,RSRZ outliers [%],MAD,2.298983365640355
8,Mean,R [%],MSE,10.213001127682498
8,Mean,R [%],MAE,2.4409702835799028
8,Mean,R [%],MAD,1.9845417026099774
8,Mean,R free [%],MSE,14.95295948729277
8,Mean,R free [%],MAE,3.038579682482115
8,Mean,R free [%],MAD,2.5687264321803376
8,Median,Clashscore,MSE,116.15046611570247
8,Median,Clashscore,MAE,5.416859504132231
8,Median,Clashscore,MAD,2.7299999999999995
8,Median,Ramachandran outliers [%],MSE,1.9576942484291933
8,Median,Ramachandran outliers [%],MAE,0.4813146447559206
8,Median,Ramachandran outliers [%],MAD,0.04
8,Median,Rotamer outliers [%],MSE,14.36274557142857
8,Median,Rotamer outliers [%],MAE,2.330804761904762
8,Median,Rotamer outliers [%],MAD,1.3900000000000001
8,Median,RSRZ outliers [%],MSE,16.436423923566878
8,Median,RSRZ outliers [%],MAE,2.5623668789808915
8,Median,RSRZ outliers [%],MAD,1.85
8,Median,R [%],MSE,10.227446477823435
8,Median,R [%],MAE,2.437940854369176
8,Median,R [%],MAD,1.9700000000000024
8,Median,R free [%],MSE,14.9547526993066
8,Median,R free [%],MAE,3.0387358308425574
8,Median,R free [%],MAD,2.5749999999999993
8,Bayesian,Clashscore,MSE,37.516828183284716
8,Bayesian,Clashscore,MAE,3.884627428162772
8,Bayesian,Clashscore,MAD,2.43832577619773
8,Bayesian,Ramachandran outliers [%],MSE,0.7281879059549532
8,Bayesian,Ramachandran outliers [%],MAE,0.39963983541351417
8,Bayesian,Ramachandran outliers [%],MAD,0.1989268524886802
8,Bayesian,Rotamer outliers [%],MSE,7.481856907782161
8,Bayesian,Rotamer outliers [%],MAE,1.7534573572418217
8,Bayesian,Rotamer outliers [%],MAD,1.2520730633343176
8,Bayesian,RSRZ outliers [%],MSE,13.946364341637464
8,Bayesian,RSRZ outliers [%],MAE,2.502241291533251
8,Bayesian,RSRZ outliers [%],MAD,2.0253777256112926
8,Bayesian,R [%],MSE,3.3780396714511953
8,Bayesian,R [%],MAE,1.318363059831924
8,Bayesian,R [%],MAD,0.9840281638760224
8,Bayesian,R free [%],MSE,3.2414581382510756
8,Bayesian,R free [%],MAE,1.3263696656843176
8,Bayesian,R free [%],MAD,1.032858328525073
9,Mean,Clashscore,MSE,70.2622034288839
9,Mean,Clashscore,MAE,5.317887538333105
9,Mean,Clashscore,MAD,4.650594930202578
9,Mean,Ramachandran outliers [%],MSE,1.2102972764050388
9,Mean,Ramachandran outliers [%],MAE,0.5820986029967705
9,Mean,Ramachandran outliers [%],MAD,0.4950250785518276
9,Mean,Rotamer outliers [%],MSE,13.519822288870614
9,Mean,Rotamer outliers [%],MAE,2.5907674378748933
9,Mean,Rotamer outliers [%],MAD,2.1125912596401033
9,Mean,RSRZ outliers [%],MSE,16.974518990576925
9,Mean,RSRZ outliers [%],MAE,2.752503347041924
9,Mean,RSRZ outliers [%],MAD,2.303562097101384
9,Mean,R [%],MSE,10.613612512923133
9,Mean,R [%],MAE,2.4698576042958234
9,Mean,R [%],MAD,1.9841363068654267
9,Mean,R free [%],MSE,14.58299675459815
9,Mean,R free [%],MAE,2.992898341704679
9,Mean,R free [%],MAD,2.450856304752545
9,Median,Clashscore,MSE,75.527426446281
9,Median,Clashscore,MAE,4.849421487603306
9,Median,Clashscore,MAD,2.9700000000000006
9,Median,Ramachandran outliers [%],MSE,1.389798646689222
9,Median,Ramachandran outliers [%],MAE,0.464862252295795
9,Median,Ramachandran outliers [%],MAD,0.04
9,Median,Rotamer outliers [%],MSE,14.983298
9,Median,Rotamer outliers [%],MAE,2.348847619047619
9,Median,Rotamer outliers [%],MAD,1.3599999999999999
9,Median,RSRZ outliers [%],MSE,18.065669766454356
9,Median,RSRZ outliers [%],MAE,2.6249757961783438
9,Median,RSRZ outliers [%],MAD,1.87
9,Median,R [%],MSE,10.624247226599588
9,Median,R [%],MAE,2.4673769305524247
9,Median,R [%],MAD,1.9750000000000014
