,J1,J2,L
192944,ACTA BIOCHIM BIOPHYS SINICA,ACTA BIOCHIM BIOPHYS SIN,3
194540,NAT COMMUN,NAT CHEM,4
195177,RNA BIOL,OPEN BIOL,4
195566,RNA BIOL,REDOX BIOL,4
196398,NAT METHODS,METHODS,4
197529,EUR J INORG CHEM,RUS J BIOORG CHEM,4
198578,BIOTECHNOL BIOENG,BIOTECHNOL BIOFUELS,4
199557,PATENT,NAT GENET,4
199583,PATENT,PEERJ,4
199674,PATENT,PRION,4
202384,VIROL J,ISME J,4
202390,VIROL J,VIRUSES,4
202526,VIROL J,VIROL SIN,3
202711,VIROL J,AICHE J,4
202824,ANAL BIOCHEM,ANAL CHEM,3
202846,ANAL BIOCHEM,BMC BIOCHEM,4
203703,ARCHAEA,CHEM,4
203800,ARCHAEA,AICHE J,4
204045,EUR J HUM GENET,AM J HUM GENET,3
204591,J PHYS CHEM B,J PHYS CHEM LETT,4
205224,ACC CHEM RES,MED CHEM RES,3
205771,MUTAT RES,VET RES,4
207323,CELL BIOSCI,J BIOSCI,4
207409,CELL BIOSCI,CELL DISCOV,4
208807,J BIOCHEM MOL BIOL,INT J BIOCHEM MOL BIOL,4
210039,EUR J PHARM SCI,J PHARM SCI,4
210768,ONCOGENE,ONCOGENESIS,3
212248,PARASITOLOGY,PARASITOL RES,4
214109,SMALL,MBIO,4
214143,SMALL,ISME J,4
214152,SMALL,MABS,3
214480,SMALL,HEALTH,4
214504,SMALL,JOULE,4
214512,SMALL,BRAIN,4
217151,CHEMBIOCHEM,CHEMPLUSCHEM,4
217183,CHEMBIOCHEM,BMC BIOCHEM,4
217357,CHEMBIOCHEM,CHEMCATCHEM,3
217470,CHEMBIOCHEM,CHEMPHYSCHEM,4
217941,METHODS ENZYMOL,METH ENZYMOL,3
219234,J ORG CHEM,J COMB CHEM,3
219516,J ORG CHEM,FRONT CHEM,4
219559,J ORG CHEM,FOOD CHEM,4
219800,MOL CELL BIOCHEM,J CELL BIOCHEM,3
220236,BIOLOGIA,BIOLOGY,2
220447,BIOLOGIA,BIORXIV,4
220581,BIOLOGIA,BIOL OPEN,4
220937,J MOL CATAL,TOP CATAL,4
221108,J MOL CATAL,J MOL EVOL,4
222375,MOL BIOL CELL,MOL BIOL EVOL,3
224791,BIOSCI REP,BIOPHYS REP,4
224849,BIOSCI REP,SCI REP,3
225095,BIOSCI REP,BIOSCI TRENDS,4
227983,J BIOMED SCI,J BIOSCI,4
228717,BIOPHYS REP,BIOPHYS REV,1
229856,BMC MICROBIOL,ARCH MICROBIOL,3
229963,BMC MICROBIOL,NAT MICROBIOL,3
230030,BMC MICROBIOL,J MICROBIOL,3
230039,BMC MICROBIOL,VET MICROBIOL,3
230123,BMC MICROBIOL,CELL MICROBIOL,4
230204,BMC MICROBIOL,RES MICROBIOL,3
231472,MOL MEMBR BIOL,J MEMBR BIOL,3
231653,MOL MEMBR BIOL,MOL NEUROBIOL,4
232435,BIOLOGY,BIORXIV,4
232463,BIOLOGY,CRYOBIOLOGY,4
232495,BIOLOGY,ANDROLOGY,4
232569,BIOLOGY,BIOL OPEN,4
232679,BIOLOGY,TOXICOLOGY,4
233405,CHEMPLUSCHEM,CHEMCATCHEM,4
233518,CHEMPLUSCHEM,CHEMPHYSCHEM,2
